HIPNum1	HIPNum2	distance
10064	7943	5.625508
9598	3750	5.626956
11767	4283	5.629596
4427	8020	5.631591
4427	4572	5.638618
8903	9859	5.638727
13268	10227	5.643683
5348	3170	5.645084
8903	7740	5.650993
2920	4292	5.651654
13701	14797	5.656242
14328	14264	5.659558
3179	1960	5.660929
13268	10379	5.665815
13268	13665	5.666522
4427	3299	5.670209
8645	10396	5.671754
8832	6981	5.673807
9598	5518	5.678073
1067	2903	5.682001
13531	11279	5.682659
3821	518	5.683526
6686	3334	5.683859
13701	15203	5.696502
4427	3544	5.698873
3179	3801	5.702845
13531	15669	5.703108
11767	10623	5.704488
8645	9572	5.708236
4427	8046	5.710381
6686	3951	5.717050
7097	8159	5.717455
9236	11293	5.717706
3821	4998	5.723098
8796	10793	5.726323
4436	2270	5.727029
9640	10819	5.737131
14328	16147	5.737818
9884	11415	5.739025
2920	3504	5.742501
6867	7886	5.746714
5348	8241	5.750439
6686	9990	5.750561
10064	12072	5.757547
9236	12871	5.763525
765	2256	5.765763
5348	2711	5.767244
12706	12720	5.767449
2920	4786	5.768068
2920	118243	5.768728
9347	8688	5.770995
13531	15770	5.772083
9598	12821	5.772372
6867	7083	5.776026
5364	3849	5.778386
13531	10944	5.800865
746	4151	5.801013
9640	10924	5.801261
13701	12770	5.804790
6686	5336	5.808809
8903	7874	5.809301
765	117315	5.809645
13531	14914	5.812619
9487	10305	5.814655
9347	9572	5.814825
9884	10793	5.815698
746	3988	5.816992
9487	7884	5.817129
9598	3721	5.823156
8832	10732	5.824052
3179	118243	5.826419
2920	3649	5.831476
9598	6261	5.835812
3179	1354	5.837758
4436	5317	5.839156
1067	2832	5.840415
14135	12447	5.843451
8645	6822	5.847216
3092	1123	5.848902
8102	9237	5.851776
3821	1982	5.854013
6537	7597	5.860154
3419	3185	5.861456
2021	111504	5.863265
6686	9312	5.868696
13531	14544	5.869006
13701	15230	5.870395
3092	5175	5.873111
13209	12332	5.874966
8645	8094	5.874975
14328	16447	5.875165
3821	7251	5.875910
14328	16974	5.876232
5447	4903	5.878097
9640	10562	5.880167
9347	11072	5.882660
13531	16292	5.883068
4427	5542	5.883349
8102	8645	5.884174
746	4292	5.885265
6867	9313	5.889681
6686	7050	5.890160
3179	5021	5.894050
14135	14954	5.900344
9236	7751	5.902736
14328	14914	5.905783
8886	7251	5.911832
6867	8552	5.914613
10602	13518	5.921408
2081	2802	5.930474
2920	4298	5.934638
13531	13339	5.934890
2920	4422	5.936928
6686	8847	5.936937
4427	7617	5.938326
14135	12318	5.939008
11767	40559	5.939888
7588	10871	5.943107
9007	11925	5.943862
7588	5268	5.948395
2081	2383	5.953747
14328	16602	5.960864
2081	3807	5.964563
746	115395	5.965903
9598	10438	5.974327
3419	3436	5.975085
6537	5951	5.975139
6537	8230	5.975492
7607	4911	5.977999
9236	13141	5.980567
14328	16424	5.980572
2021	377	5.982571
6686	9573	5.982694
3179	6486	5.992532
9598	3572	5.993220
4427	5336	5.995960
11767	45421	6.001464
6537	8094	6.007018
2021	2629	6.009573
2920	118077	6.011733
3821	7294	6.012687
5364	3455	6.014913
8102	6427	6.024543
8886	7617	6.024957
13209	11578	6.028549
3179	3300	6.029224
11767	20982	6.030312
8796	8993	6.033300
10064	8086	6.037776
2021	114268	6.038448
12706	11021	6.044762
7607	4786	6.048843
9347	11108	6.048911
7607	7918	6.051161
13268	16281	6.059591
5447	5034	6.063959
5364	6670	6.065376
